serial,species,size,agg_wt_final,count_final,year,season
501,Channel Catfish,ALL,1926,3,2014,Autumn
501,Emerald Shiner,L,162,48,2014,Autumn
501,Emerald Shiner,M,13.5,9,2014,Autumn
501,Freshwater Drum,ALL,4143,6,2014,Autumn
501,Gizzard Shad,ALL,2522,200,2014,Autumn
501,Round Goby,ALL,25,1,2014,Autumn
501,Silver Chub,ALL,26,1,2014,Autumn
501,Spottail Shiner,L,274,21,2014,Autumn
501,Spottail Shiner,M,173,44,2014,Autumn
501,Walleye,M,1235,2,2014,Autumn
501,Walleye,S,506,10,2014,Autumn
501,White Bass,S,4.5,2,2014,Autumn
501,White Perch,M,155,3,2014,Autumn
501,White Perch,O/D,252,3,2014,Autumn
501,White Perch,S,1088,175,2014,Autumn
501,Yellow Perch,M,156,3,2014,Autumn
501,Yellow Perch,O/D,352,5,2014,Autumn
501,Yellow Perch,S,199,23,2014,Autumn
502,Channel Catfish,ALL,6425,17,2014,Autumn
502,Emerald Shiner,ALL,322,104,2014,Autumn
502,Freshwater Drum,ALL,12640,32,2014,Autumn
502,Freshwater Drum,S,91,3,2014,Autumn
502,Gizzard Shad,ALL,924,30,2014,Autumn
502,Round Goby,ALL,55,4,2014,Autumn
502,Spottail Shiner,L,5,1,2014,Autumn
502,Spottail Shiner,S,0,1,2014,Autumn
502,Trout Perch,L,115,12,2014,Autumn
502,Trout Perch,S,57,12,2014,Autumn
502,Walleye,L,2159,2,2014,Autumn
502,Walleye,M,1540,4,2014,Autumn
502,Walleye,S,848,21,2014,Autumn
502,White Perch,L,5322,50,2014,Autumn
502,White Perch,M,1696,27,2014,Autumn
502,White Perch,O/D,954,5,2014,Autumn
502,White Perch,S,1804,220,2014,Autumn
502,Yellow Perch,M,171,4,2014,Autumn
502,Yellow Perch,O/D,234,2,2014,Autumn
502,Yellow Perch,S,109,16,2014,Autumn
503,Freshwater Drum,L,6626,4,2014,Autumn
503,Freshwater Drum,M,8565,5,2014,Autumn
503,Freshwater Drum,S,1061,4,2014,Autumn
503,Gizzard Shad,ALL,2370,91,2014,Autumn
503,Walleye,S,455,10,2014,Autumn
503,White Perch,M,42,1,2014,Autumn
503,White Perch,S,39.5,6,2014,Autumn
503,Yellow Perch,M,51,1,2014,Autumn
503,Yellow Perch,O/D,246,2,2014,Autumn
503,Yellow Perch,S,2012,485,2014,Autumn
504,Channel Catfish,ALL,9720,23,2014,Autumn
504,Common Carp,ALL,27240,4,2014,Autumn
504,Emerald Shiner,ALL,81,22,2014,Autumn
504,Freshwater Drum,L,3106,1,2014,Autumn
504,Freshwater Drum,M,7820,20,2014,Autumn
504,Freshwater Drum,S,25,1,2014,Autumn
504,Gizzard Shad,L,1244,34,2014,Autumn
504,Gizzard Shad,M,12601,689,2014,Autumn
504,Quillback,ALL,16120,10,2014,Autumn
504,Round Goby,ALL,19,2,2014,Autumn
504,Smallmouth Bass,S,28,1,2014,Autumn
504,Trout Perch,L,403,37,2014,Autumn
504,Trout Perch,S,112,30,2014,Autumn
504,Walleye,L,4250,1,2014,Autumn
504,Walleye,M,5352,9,2014,Autumn
504,Walleye,S,320,6,2014,Autumn
504,White Bass,L,2039,5,2014,Autumn
504,White Perch,M,2806,21,2014,Autumn
504,White Perch,O/D,1206,5,2014,Autumn
504,White Perch,S,913,155,2014,Autumn
504,White Sucker,ALL,1131,1,2014,Autumn
504,Yellow Perch,M,398,8,2014,Autumn
504,Yellow Perch,O/D,428,5,2014,Autumn
504,Yellow Perch,S,103.5,17,2014,Autumn
505,Common Carp,ALL,7840,1,2014,Autumn
505,Freshwater Drum,L,5523,5,2014,Autumn
505,Gizzard Shad,ALL,5515,297,2014,Autumn
505,Round Goby,ALL,15,1,2014,Autumn
505,Smallmouth Bass,S,12,1,2014,Autumn
505,Spottail Shiner,M,6,1,2014,Autumn
505,Walleye,S,92.5,3,2014,Autumn
505,White Perch,O/D,132,2,2014,Autumn
505,White Perch,S,562,29,2014,Autumn
505,Yellow Perch,M,403,7,2014,Autumn
505,Yellow Perch,O/D,250,5,2014,Autumn
505,Yellow Perch,S,240.5,28,2014,Autumn
506,Common Carp,ALL,7820,1,2014,Autumn
506,Emerald Shiner,ALL,16.5,5,2014,Autumn
506,Freshwater Drum,L,11275,10,2014,Autumn
506,Gizzard Shad,ALL,234,8,2014,Autumn
506,Round Goby,ALL,34.5,4,2014,Autumn
506,Smallmouth Bass,S,88.5,6,2014,Autumn
506,Spottail Shiner,L,12.5,1,2014,Autumn
506,Spottail Shiner,S,0,1,2014,Autumn
506,Trout Perch,L,118.5,10,2014,Autumn
506,Trout Perch,S,55.5,19,2014,Autumn
506,Walleye,S,203,5,2014,Autumn
506,White Perch,M,219,4,2014,Autumn
506,White Perch,O/D,410,4,2014,Autumn
506,White Perch,S,890,124,2014,Autumn
506,Yellow Perch,M,594,19,2014,Autumn
506,Yellow Perch,O/D,553,5,2014,Autumn
506,Yellow Perch,S,2188,351,2014,Autumn
507,Emerald Shiner,ALL,266,78,2014,Autumn
507,Freshwater Drum,M,8008,18,2014,Autumn
507,Gizzard Shad,ALL,27100,1355,2014,Autumn
507,Round Goby,ALL,28,3,2014,Autumn
507,Smallmouth Bass,L,489,1,2014,Autumn
507,Smallmouth Bass,S,39,4,2014,Autumn
507,Yellow Perch,S,2,1,2014,Autumn
508,Channel Catfish,ALL,3121,5,2014,Autumn
508,Common Carp,ALL,12440,2,2014,Autumn
508,Emerald Shiner,L,94,21,2014,Autumn
508,Emerald Shiner,S,50,19,2014,Autumn
508,Freshwater Drum,L,10254,5,2014,Autumn
508,Freshwater Drum,M,11133,27,2014,Autumn
508,Freshwater Drum,S,45,1,2014,Autumn
508,Gizzard Shad,L,1804,42,2014,Autumn
508,Gizzard Shad,M,6035,359,2014,Autumn
508,Gizzard Shad,S,1381,150,2014,Autumn
508,Quillback,L,16840,10,2014,Autumn
508,Quillback,M,3413,5,2014,Autumn
508,Silver Chub,ALL,26,1,2014,Autumn
508,Smallmouth Bass,S,15.5,1,2014,Autumn
508,Trout Perch,L,83,8,2014,Autumn
508,Trout Perch,S,22,8,2014,Autumn
508,Walleye,M,339,1,2014,Autumn
508,Walleye,S,670,17,2014,Autumn
508,White Bass,L,338,1,2014,Autumn
508,White Perch,M,262,5,2014,Autumn
508,White Perch,O/D,400,4,2014,Autumn
508,White Perch,S,873,23,2014,Autumn
508,Yellow Perch,M,830,19,2014,Autumn
508,Yellow Perch,O/D,770,6,2014,Autumn
508,Yellow Perch,S,179,25,2014,Autumn
509,Common Carp,ALL,24800,3,2014,Autumn
509,Freshwater Drum,L,8884,8,2014,Autumn
509,Gizzard Shad,L,1256,31,2014,Autumn
509,Gizzard Shad,M,2878,248,2014,Autumn
509,Smallmouth Bass,S,42,2,2014,Autumn
509,Spottail Shiner,L,17,1,2014,Autumn
509,Spottail Shiner,M,1,1,2014,Autumn
509,Spottail Shiner,S,2,12,2014,Autumn
509,Trout Perch,S,7.5,5,2014,Autumn
509,Walleye,M,3654,7,2014,Autumn
509,Walleye,S,1895,46,2014,Autumn
509,White Bass,L,449,1,2014,Autumn
509,White Perch,L,153,1,2014,Autumn
509,White Perch,O/D,206,2,2014,Autumn
509,White Perch,S,249,53,2014,Autumn
509,Yellow Perch,M,1377,31,2014,Autumn
509,Yellow Perch,O/D,510,5,2014,Autumn
509,Yellow Perch,S,17309,2800,2014,Autumn
510,Emerald Shiner,ALL,21.6855,4.819,2014,Autumn
510,Freshwater Drum,L,12433,11,2014,Autumn
510,Gizzard Shad,ALL,1257.759,75,2014,Autumn
510,River Redhorse,ALL,3320,1,2014,Autumn
510,Spottail Shiner,ALL,33.733,14.457,2014,Autumn
510,Trout Perch,L,149.389,14.457,2014,Autumn
510,Trout Perch,S,106.018,33.733,2014,Autumn
510,Walleye,M,993,3,2014,Autumn
510,Walleye,S,4298.548,115.656,2014,Autumn
510,White Bass,L,1237,4,2014,Autumn
510,White Perch,M,146,2,2014,Autumn
510,White Perch,O/D,88,1,2014,Autumn
510,White Perch,S,4563.593,913,2014,Autumn
510,White Sucker,ALL,1479,6,2014,Autumn
