serial,lat_st,long_st
541,41.462917,-82.2491167
540,41.66545,-82.3487
539,41.564483,-82.35175
538,41.463333,-82.3469333
537,41.76475,-82.4495167
536,41.66335,-82.4539167
535,41.563917,-82.4527
534,41.463333,-82.4470667
533,41.8635,-82.5500167
532,41.766317,-82.55045
531,41.659817,-82.5498833
530,41.563317,-82.55035
529,41.463467,-82.55025
528,41.963417,-82.6500167
527,41.863333,-82.6500667
526,41.663417,-82.6546667
525,41.563433,-82.6507167
524,41.9633,-82.7531
523,41.8632,-82.74985
522,41.763233,-82.7497833
521,41.663183,-82.7499667
520,41.563417,-82.7505167
519,41.963667,-82.8503
518,41.86325,-82.8501
517,41.762917,-82.8495
516,41.6633,-82.8501167
515,41.863567,-82.9501833
514,41.76275,-82.9503833
513,41.664383,-82.9507
512,41.563467,-82.9509167
511,41.96315,-83.0506667
510,41.8685,-83.0509333
509,41.76343333,-83.0499
508,41.663267,-83.0496667
507,41.963467,-83.1498833
506,41.863433,-83.14995
505,41.763433,-83.1498667
504,41.663383,-83.1498
503,41.8634,-83.2499333
502,41.763383,-83.2498667
501,41.76375,-83.34615
141,41.462917,-82.2491167
140,41.66545,-82.3487
139,41.564483,-82.35175
138,41.463333,-82.3469333
137,41.76475,-82.4495167
136,41.66335,-82.4539167
135,41.563917,-82.4527
134,41.463333,-82.4470667
133,41.8635,-82.5500167
132,41.766317,-82.55045
131,41.659817,-82.5498833
130,41.563317,-82.55035
129,41.463467,-82.55025
128,41.963417,-82.6500167
127,41.863333,-82.6500667
126,41.663417,-82.6546667
125,41.563433,-82.6507167
124,41.9633,-82.7531
123,41.8632,-82.74985
122,41.763233,-82.7497833
121,41.663183,-82.7499667
120,41.563417,-82.7505167
119,41.963667,-82.8503
118,41.86325,-82.8501
117,41.762917,-82.8495
116,41.6633,-82.8501167
115,41.863567,-82.9501833
114,41.76275,-82.9503833
113,41.664383,-82.9507
112,41.563467,-82.9509167
111,41.96315,-83.0506667
110,41.8685,-83.0509333
109,41.76343333,-83.0499
108,41.663267,-83.0496667
107,41.963467,-83.1498833
106,41.863433,-83.14995
105,41.763433,-83.1498667
104,41.663383,-83.1498
103,41.8634,-83.2499333
102,41.763383,-83.2498667
101,41.76375,-83.34615
