serial,day,month,year,season,species,size,count.final
501,23,9,2014,Autumn,Channel Catfish,ALL,3
501,23,9,2014,Autumn,Emerald Shiner,L,48
501,23,9,2014,Autumn,Emerald Shiner,M,9
501,23,9,2014,Autumn,Freshwater Drum,ALL,6
501,23,9,2014,Autumn,Gizzard Shad,ALL,200
501,23,9,2014,Autumn,Round Goby,ALL,1
501,23,9,2014,Autumn,Silver Chub,ALL,1
501,23,9,2014,Autumn,Spottail Shiner,L,21
501,23,9,2014,Autumn,Spottail Shiner,M,44
501,23,9,2014,Autumn,Walleye,M,2
501,23,9,2014,Autumn,Walleye,S,10
501,23,9,2014,Autumn,White Bass,S,2
501,23,9,2014,Autumn,White Perch,M,3
501,23,9,2014,Autumn,White Perch,O/D,3
501,23,9,2014,Autumn,White Perch,S,175
501,23,9,2014,Autumn,Yellow Perch,M,3
501,23,9,2014,Autumn,Yellow Perch,O/D,5
501,23,9,2014,Autumn,Yellow Perch,S,23
502,23,9,2014,Autumn,Channel Catfish,ALL,17
502,23,9,2014,Autumn,Emerald Shiner,ALL,104
502,23,9,2014,Autumn,Freshwater Drum,ALL,32
502,23,9,2014,Autumn,Freshwater Drum,S,3
502,23,9,2014,Autumn,Gizzard Shad,ALL,30
502,23,9,2014,Autumn,Round Goby,ALL,4
502,23,9,2014,Autumn,Spottail Shiner,L,1
502,23,9,2014,Autumn,Spottail Shiner,S,1
502,23,9,2014,Autumn,Trout Perch,L,12
502,23,9,2014,Autumn,Trout Perch,S,12
502,23,9,2014,Autumn,Walleye,L,2
502,23,9,2014,Autumn,Walleye,M,4
502,23,9,2014,Autumn,Walleye,S,21
502,23,9,2014,Autumn,White Perch,L,50
502,23,9,2014,Autumn,White Perch,M,27
502,23,9,2014,Autumn,White Perch,O/D,5
502,23,9,2014,Autumn,White Perch,S,220
502,23,9,2014,Autumn,Yellow Perch,M,4
502,23,9,2014,Autumn,Yellow Perch,O/D,2
502,23,9,2014,Autumn,Yellow Perch,S,16
503,23,9,2014,Autumn,Freshwater Drum,L,4
503,23,9,2014,Autumn,Freshwater Drum,M,5
503,23,9,2014,Autumn,Freshwater Drum,S,4
503,23,9,2014,Autumn,Gizzard Shad,ALL,91
503,23,9,2014,Autumn,Walleye,S,10
503,23,9,2014,Autumn,White Perch,M,1
503,23,9,2014,Autumn,White Perch,S,6
503,23,9,2014,Autumn,Yellow Perch,M,1
503,23,9,2014,Autumn,Yellow Perch,O/D,2
503,23,9,2014,Autumn,Yellow Perch,S,485
504,22,9,2014,Autumn,Channel Catfish,ALL,23
504,22,9,2014,Autumn,Common Carp,ALL,4
504,22,9,2014,Autumn,Emerald Shiner,ALL,22
504,22,9,2014,Autumn,Freshwater Drum,L,1
504,22,9,2014,Autumn,Freshwater Drum,M,20
504,22,9,2014,Autumn,Freshwater Drum,S,1
504,22,9,2014,Autumn,Gizzard Shad,L,34
504,22,9,2014,Autumn,Gizzard Shad,M,689
504,22,9,2014,Autumn,Quillback,ALL,10
504,22,9,2014,Autumn,Round Goby,ALL,2
504,22,9,2014,Autumn,Smallmouth Bass,S,1
504,22,9,2014,Autumn,Trout Perch,L,37
504,22,9,2014,Autumn,Trout Perch,S,30
504,22,9,2014,Autumn,Walleye,L,1
504,22,9,2014,Autumn,Walleye,M,9
504,22,9,2014,Autumn,Walleye,S,6
504,22,9,2014,Autumn,White Bass,L,5
504,22,9,2014,Autumn,White Perch,M,21
504,22,9,2014,Autumn,White Perch,O/D,5
504,22,9,2014,Autumn,White Perch,S,155
504,22,9,2014,Autumn,White Sucker,ALL,1
504,22,9,2014,Autumn,Yellow Perch,M,8
504,22,9,2014,Autumn,Yellow Perch,O/D,5
504,22,9,2014,Autumn,Yellow Perch,S,17
505,23,9,2014,Autumn,Common Carp,ALL,1
505,23,9,2014,Autumn,Freshwater Drum,L,5
505,23,9,2014,Autumn,Gizzard Shad,ALL,297
505,23,9,2014,Autumn,Round Goby,ALL,1
505,23,9,2014,Autumn,Smallmouth Bass,S,1
505,23,9,2014,Autumn,Spottail Shiner,M,1
505,23,9,2014,Autumn,Walleye,S,3
505,23,9,2014,Autumn,White Perch,O/D,2
505,23,9,2014,Autumn,White Perch,S,29
505,23,9,2014,Autumn,Yellow Perch,M,7
505,23,9,2014,Autumn,Yellow Perch,O/D,5
505,23,9,2014,Autumn,Yellow Perch,S,28
506,23,9,2014,Autumn,Common Carp,ALL,1
506,23,9,2014,Autumn,Emerald Shiner,ALL,5
506,23,9,2014,Autumn,Freshwater Drum,L,10
506,23,9,2014,Autumn,Gizzard Shad,ALL,8
506,23,9,2014,Autumn,Round Goby,ALL,4
506,23,9,2014,Autumn,Smallmouth Bass,S,6
506,23,9,2014,Autumn,Spottail Shiner,L,1
506,23,9,2014,Autumn,Spottail Shiner,S,1
506,23,9,2014,Autumn,Trout Perch,L,10
506,23,9,2014,Autumn,Trout Perch,S,19
506,23,9,2014,Autumn,Walleye,S,5
506,23,9,2014,Autumn,White Perch,M,4
506,23,9,2014,Autumn,White Perch,O/D,4
506,23,9,2014,Autumn,White Perch,S,124
506,23,9,2014,Autumn,Yellow Perch,M,19
506,23,9,2014,Autumn,Yellow Perch,O/D,5
506,23,9,2014,Autumn,Yellow Perch,S,351
507,23,9,2014,Autumn,Emerald Shiner,ALL,78
507,23,9,2014,Autumn,Freshwater Drum,M,18
507,23,9,2014,Autumn,Gizzard Shad,ALL,1355
507,23,9,2014,Autumn,Round Goby,ALL,3
507,23,9,2014,Autumn,Smallmouth Bass,L,1
507,23,9,2014,Autumn,Smallmouth Bass,S,4
507,23,9,2014,Autumn,Yellow Perch,S,1
508,22,9,2014,Autumn,Channel Catfish,ALL,5
508,22,9,2014,Autumn,Common Carp,ALL,2
508,22,9,2014,Autumn,Emerald Shiner,L,21
508,22,9,2014,Autumn,Emerald Shiner,S,19
508,22,9,2014,Autumn,Freshwater Drum,L,5
508,22,9,2014,Autumn,Freshwater Drum,M,27
508,22,9,2014,Autumn,Freshwater Drum,S,1
508,22,9,2014,Autumn,Gizzard Shad,L,42
508,22,9,2014,Autumn,Gizzard Shad,M,359
508,22,9,2014,Autumn,Gizzard Shad,S,150
508,22,9,2014,Autumn,Quillback,L,10
508,22,9,2014,Autumn,Quillback,M,5
508,22,9,2014,Autumn,Silver Chub,ALL,1
508,22,9,2014,Autumn,Smallmouth Bass,S,1
508,22,9,2014,Autumn,Trout Perch,L,8
508,22,9,2014,Autumn,Trout Perch,S,8
508,22,9,2014,Autumn,Walleye,M,1
508,22,9,2014,Autumn,Walleye,S,17
508,22,9,2014,Autumn,White Bass,L,1
508,22,9,2014,Autumn,White Perch,M,5
508,22,9,2014,Autumn,White Perch,O/D,4
508,22,9,2014,Autumn,White Perch,S,23
508,22,9,2014,Autumn,Yellow Perch,M,19
508,22,9,2014,Autumn,Yellow Perch,O/D,6
508,22,9,2014,Autumn,Yellow Perch,S,25
509,22,9,2014,Autumn,Common Carp,ALL,3
509,22,9,2014,Autumn,Freshwater Drum,L,8
509,22,9,2014,Autumn,Gizzard Shad,L,31
509,22,9,2014,Autumn,Gizzard Shad,M,248
509,22,9,2014,Autumn,Smallmouth Bass,S,2
509,22,9,2014,Autumn,Spottail Shiner,L,1
509,22,9,2014,Autumn,Spottail Shiner,M,1
509,22,9,2014,Autumn,Spottail Shiner,S,12
509,22,9,2014,Autumn,Trout Perch,S,5
509,22,9,2014,Autumn,Walleye,M,7
509,22,9,2014,Autumn,Walleye,S,46
509,22,9,2014,Autumn,White Bass,L,1
509,22,9,2014,Autumn,White Perch,L,1
509,22,9,2014,Autumn,White Perch,O/D,2
509,22,9,2014,Autumn,White Perch,S,53
509,22,9,2014,Autumn,Yellow Perch,M,31
509,22,9,2014,Autumn,Yellow Perch,O/D,5
509,22,9,2014,Autumn,Yellow Perch,S,2800
510,23,9,2014,Autumn,Emerald Shiner,ALL,4.82
510,23,9,2014,Autumn,Freshwater Drum,L,11
510,23,9,2014,Autumn,Gizzard Shad,ALL,75
510,23,9,2014,Autumn,River Redhorse,ALL,1
510,23,9,2014,Autumn,Spottail Shiner,ALL,14.46
510,23,9,2014,Autumn,Trout Perch,L,14.46
510,23,9,2014,Autumn,Trout Perch,S,33.73
510,23,9,2014,Autumn,Walleye,M,3
510,23,9,2014,Autumn,Walleye,S,115.66
510,23,9,2014,Autumn,White Bass,L,4
510,23,9,2014,Autumn,White Perch,M,2
