serial,species,life_stage,NperHA,KgperHA,year,season
106,Alewife,YAO,1.92,0.04,2013,Spring
111,Alewife,YAO,3.78,0.14,2013,Spring
119,Alewife,YAO,3.65,0.08,2013,Spring
121,Alewife,YAO,3.88,0.09,2013,Spring
125,Alewife,YAO,29.17,0.63,2013,Spring
126,Alewife,YAO,1.92,0.06,2013,Spring
135,Alewife,YAO,3.07,0.06,2013,Spring
137,Alewife,YAO,417,13.09,2013,Spring
503,Alewife,YAO,1.41,0.01,2013,Autumn
503,Alewife,YOY,14.68,0.15,2013,Autumn
506,Alewife,YAO,10.69,0.1,2013,Autumn
506,Alewife,YOY,123.64,1.13,2013,Autumn
509,Alewife,YAO,0.18,0,2013,Autumn
509,Alewife,YOY,12.51,0.18,2013,Autumn
510,Alewife,YAO,75.93,0.89,2013,Autumn
510,Alewife,YOY,982.35,11.49,2013,Autumn
511,Alewife,YAO,5.49,0.07,2013,Autumn
511,Alewife,YOY,11.59,0.14,2013,Autumn
513,Alewife,YOY,2.13,0.02,2013,Autumn
517,Alewife,YAO,0.7,0.01,2013,Autumn
517,Alewife,YOY,7.74,0.12,2013,Autumn
519,Alewife,YAO,53.12,0.52,2013,Autumn
519,Alewife,YOY,664.32,6.51,2013,Autumn
520,Alewife,YAO,10.48,0.19,2013,Autumn
520,Alewife,YOY,29.63,0.55,2013,Autumn
522,Alewife,YAO,6.93,0.08,2013,Autumn
522,Alewife,YOY,662.39,7.22,2013,Autumn
524,Alewife,YAO,33.85,0.5,2013,Autumn
524,Alewife,YOY,1082.37,15.94,2013,Autumn
532,Alewife,YAO,0.1,0,2013,Autumn
532,Alewife,YOY,11.69,0.11,2013,Autumn
535,Alewife,YAO,224.07,2.31,2013,Autumn
535,Alewife,YOY,8265.58,85.14,2013,Autumn
536,Alewife,YAO,2.74,0.03,2013,Autumn
536,Alewife,YOY,1475.22,17.26,2013,Autumn
537,Alewife,YOY,1.94,0.03,2013,Autumn
538,Alewife,YAO,6.78,0.08,2013,Autumn
538,Alewife,YOY,77.53,0.86,2013,Autumn
539,Alewife,YAO,0.74,0.01,2013,Autumn
539,Alewife,YOY,24.67,0.37,2013,Autumn
541,Alewife,YAO,43.02,0.76,2013,Autumn
541,Alewife,YOY,276.46,4.89,2013,Autumn
101,Brown Bullhead,ALL,7.02,6.52,2013,Spring
124,Brown Bullhead,ALL,2.1,2.35,2013,Spring
534,Brown Bullhead,ALL,1.86,6.74,2013,Autumn
101,Channel Catfish,YAO,6.03,5.08,2014,Spring
102,Channel Catfish,YAO,27.04,7.06,2014,Spring
102,Channel Catfish,YOY,0.33,0.01,2014,Spring
103,Channel Catfish,YAO,3.34,1.92,2014,Spring
104,Channel Catfish,YAO,13.23,11,2014,Spring
108,Channel Catfish,YAO,21.29,8.5,2014,Spring
110,Channel Catfish,YAO,2.82,4.04,2014,Spring
111,Channel Catfish,YAO,1.49,1.49,2014,Spring
