serial,species,size,count_final,year,season
501,Channel Catfish,ALL,3,2014,Autumn
501,Emerald Shiner,L,48,2014,Autumn
501,Emerald Shiner,M,9,2014,Autumn
501,Freshwater Drum,ALL,6,2014,Autumn
501,Gizzard Shad,ALL,200,2014,Autumn
501,Round Goby,ALL,1,2014,Autumn
501,Silver Chub,ALL,1,2014,Autumn
501,Spottail Shiner,L,21,2014,Autumn
501,Spottail Shiner,M,44,2014,Autumn
501,Walleye,M,2,2014,Autumn
501,Walleye,S,10,2014,Autumn
501,White Bass,S,2,2014,Autumn
501,White Perch,M,3,2014,Autumn
501,White Perch,O/D,3,2014,Autumn
501,White Perch,S,175,2014,Autumn
501,Yellow Perch,M,3,2014,Autumn
501,Yellow Perch,O/D,5,2014,Autumn
501,Yellow Perch,S,23,2014,Autumn
502,Channel Catfish,ALL,17,2014,Autumn
502,Emerald Shiner,ALL,104,2014,Autumn
502,Freshwater Drum,ALL,32,2014,Autumn
502,Freshwater Drum,S,3,2014,Autumn
502,Gizzard Shad,ALL,30,2014,Autumn
502,Round Goby,ALL,4,2014,Autumn
502,Spottail Shiner,L,1,2014,Autumn
502,Spottail Shiner,S,1,2014,Autumn
502,Trout Perch,L,12,2014,Autumn
502,Trout Perch,S,12,2014,Autumn
502,Walleye,L,2,2014,Autumn
502,Walleye,M,4,2014,Autumn
502,Walleye,S,21,2014,Autumn
502,White Perch,L,50,2014,Autumn
502,White Perch,M,27,2014,Autumn
502,White Perch,O/D,5,2014,Autumn
502,White Perch,S,220,2014,Autumn
502,Yellow Perch,M,4,2014,Autumn
502,Yellow Perch,O/D,2,2014,Autumn
502,Yellow Perch,S,16,2014,Autumn
503,Freshwater Drum,L,4,2014,Autumn
503,Freshwater Drum,M,5,2014,Autumn
503,Freshwater Drum,S,4,2014,Autumn
503,Gizzard Shad,ALL,91,2014,Autumn
503,Walleye,S,10,2014,Autumn
503,White Perch,M,1,2014,Autumn
503,White Perch,S,6,2014,Autumn
503,Yellow Perch,M,1,2014,Autumn
503,Yellow Perch,O/D,2,2014,Autumn
503,Yellow Perch,S,485,2014,Autumn
504,Channel Catfish,ALL,23,2014,Autumn
504,Common Carp,ALL,4,2014,Autumn
504,Emerald Shiner,ALL,22,2014,Autumn
504,Freshwater Drum,L,1,2014,Autumn
504,Freshwater Drum,M,20,2014,Autumn
504,Freshwater Drum,S,1,2014,Autumn
504,Gizzard Shad,L,34,2014,Autumn
504,Gizzard Shad,M,689,2014,Autumn
504,Quillback,ALL,10,2014,Autumn
504,Round Goby,ALL,2,2014,Autumn
504,Smallmouth Bass,S,1,2014,Autumn
504,Trout Perch,L,37,2014,Autumn
504,Trout Perch,S,30,2014,Autumn
504,Walleye,L,1,2014,Autumn
504,Walleye,M,9,2014,Autumn
504,Walleye,S,6,2014,Autumn
504,White Bass,L,5,2014,Autumn
504,White Perch,M,21,2014,Autumn
504,White Perch,O/D,5,2014,Autumn
504,White Perch,S,155,2014,Autumn
504,White Sucker,ALL,1,2014,Autumn
504,Yellow Perch,M,8,2014,Autumn
504,Yellow Perch,O/D,5,2014,Autumn
504,Yellow Perch,S,17,2014,Autumn
505,Common Carp,ALL,1,2014,Autumn
505,Freshwater Drum,L,5,2014,Autumn
505,Gizzard Shad,ALL,297,2014,Autumn
505,Round Goby,ALL,1,2014,Autumn
505,Smallmouth Bass,S,1,2014,Autumn
505,Spottail Shiner,M,1,2014,Autumn
505,Walleye,S,3,2014,Autumn
505,White Perch,O/D,2,2014,Autumn
505,White Perch,S,29,2014,Autumn
505,Yellow Perch,M,7,2014,Autumn
505,Yellow Perch,O/D,5,2014,Autumn
505,Yellow Perch,S,28,2014,Autumn
506,Common Carp,ALL,1,2014,Autumn
506,Emerald Shiner,ALL,5,2014,Autumn
506,Freshwater Drum,L,10,2014,Autumn
506,Gizzard Shad,ALL,8,2014,Autumn
506,Round Goby,ALL,4,2014,Autumn
506,Smallmouth Bass,S,6,2014,Autumn
506,Spottail Shiner,L,1,2014,Autumn
506,Spottail Shiner,S,1,2014,Autumn
506,Trout Perch,L,10,2014,Autumn
506,Trout Perch,S,19,2014,Autumn
506,Walleye,S,5,2014,Autumn
506,White Perch,M,4,2014,Autumn
506,White Perch,O/D,4,2014,Autumn
506,White Perch,S,124,2014,Autumn
506,Yellow Perch,M,19,2014,Autumn
506,Yellow Perch,O/D,5,2014,Autumn
506,Yellow Perch,S,351,2014,Autumn
507,Emerald Shiner,ALL,78,2014,Autumn
507,Freshwater Drum,M,18,2014,Autumn
507,Gizzard Shad,ALL,1355,2014,Autumn
507,Round Goby,ALL,3,2014,Autumn
507,Smallmouth Bass,L,1,2014,Autumn
507,Smallmouth Bass,S,4,2014,Autumn
507,Yellow Perch,S,1,2014,Autumn
508,Channel Catfish,ALL,5,2014,Autumn
508,Common Carp,ALL,2,2014,Autumn
508,Emerald Shiner,L,21,2014,Autumn
508,Emerald Shiner,S,19,2014,Autumn
