"","serial","species","life_stage","NperHA","KgperHA","year","season"
"1",101,"Alewife","YOY",0,0,2013,"Spring"
"2",101,"Alewife","Age_1",0,0,2013,"Spring"
"3",101,"Alewife","Age_2+",0,0,2013,"Spring"
"4",101,"Alewife","YAO",0,0,2013,"Spring"
"5",101,"Alewife","ALL",0,0,2013,"Spring"
"6",101,"Brown Bullhead","ALL",7.02,6.52,2013,"Spring"
"7",101,"Brown Bullhead","YOY",0,0,2013,"Spring"
"8",101,"Brown Bullhead","Age_1",0,0,2013,"Spring"
"9",101,"Brown Bullhead","Age_2+",0,0,2013,"Spring"
"10",101,"Brown Bullhead","YAO",0,0,2013,"Spring"
"11",101,"Channel Catfish","YOY",0,0,2013,"Spring"
"12",101,"Channel Catfish","Age_1",0,0,2013,"Spring"
"13",101,"Channel Catfish","Age_2+",0,0,2013,"Spring"
"14",101,"Channel Catfish","YAO",0,0,2013,"Spring"
"15",101,"Channel Catfish","ALL",0,0,2013,"Spring"
"16",101,"Common Carp","YOY",0,0,2013,"Spring"
"17",101,"Common Carp","Age_1",0,0,2013,"Spring"
"18",101,"Common Carp","Age_2+",0,0,2013,"Spring"
"19",101,"Common Carp","YAO",0,0,2013,"Spring"
"20",101,"Common Carp","ALL",0,0,2013,"Spring"
"21",101,"Emerald Shiner","YAO",50.61,0.15,2013,"Spring"
"22",101,"Emerald Shiner","YOY",0,0,2013,"Spring"
"23",101,"Emerald Shiner","Age_1",0,0,2013,"Spring"
"24",101,"Emerald Shiner","Age_2+",0,0,2013,"Spring"
"25",101,"Emerald Shiner","ALL",0,0,2013,"Spring"
"26",101,"Freshwater Drum","YAO",59.06,42.6,2013,"Spring"
"27",101,"Freshwater Drum","YOY",0,0,2013,"Spring"
"28",101,"Freshwater Drum","Age_1",0,0,2013,"Spring"
"29",101,"Freshwater Drum","Age_2+",0,0,2013,"Spring"
"30",101,"Freshwater Drum","ALL",0,0,2013,"Spring"
"31",101,"Gizzard Shad","YOY",0,0,2013,"Spring"
"32",101,"Gizzard Shad","Age_1",0,0,2013,"Spring"
"33",101,"Gizzard Shad","Age_2+",0,0,2013,"Spring"
"34",101,"Gizzard Shad","YAO",0,0,2013,"Spring"
"35",101,"Gizzard Shad","ALL",0,0,2013,"Spring"
"36",101,"Golden Redhorse","YOY",0,0,2013,"Spring"
"37",101,"Golden Redhorse","Age_1",0,0,2013,"Spring"
"38",101,"Golden Redhorse","Age_2+",0,0,2013,"Spring"
"39",101,"Golden Redhorse","YAO",0,0,2013,"Spring"
"40",101,"Golden Redhorse","ALL",0,0,2013,"Spring"
"41",101,"Goldfish","YOY",0,0,2013,"Spring"
"42",101,"Goldfish","Age_1",0,0,2013,"Spring"
"43",101,"Goldfish","Age_2+",0,0,2013,"Spring"
"44",101,"Goldfish","YAO",0,0,2013,"Spring"
"45",101,"Goldfish","ALL",0,0,2013,"Spring"
"46",101,"Lake Sturgeon","YOY",0,0,2013,"Spring"
"47",101,"Lake Sturgeon","Age_1",0,0,2013,"Spring"
"48",101,"Lake Sturgeon","Age_2+",0,0,2013,"Spring"
"49",101,"Lake Sturgeon","YAO",0,0,2013,"Spring"
"50",101,"Lake Sturgeon","ALL",0,0,2013,"Spring"
"51",101,"Lake Trout","YOY",0,0,2013,"Spring"
"52",101,"Lake Trout","Age_1",0,0,2013,"Spring"
"53",101,"Lake Trout","Age_2+",0,0,2013,"Spring"
"54",101,"Lake Trout","YAO",0,0,2013,"Spring"
"55",101,"Lake Trout","ALL",0,0,2013,"Spring"
"56",101,"Lake Whitefish","YOY",0,0,2013,"Spring"
"57",101,"Lake Whitefish","Age_1",0,0,2013,"Spring"
"58",101,"Lake Whitefish","Age_2+",0,0,2013,"Spring"
"59",101,"Lake Whitefish","YAO",0,0,2013,"Spring"
"60",101,"Lake Whitefish","ALL",0,0,2013,"Spring"
"61",101,"Logperch","YOY",0,0,2013,"Spring"
"62",101,"Logperch","Age_1",0,0,2013,"Spring"
"63",101,"Logperch","Age_2+",0,0,2013,"Spring"
"64",101,"Logperch","YAO",0,0,2013,"Spring"
"65",101,"Logperch","ALL",0,0,2013,"Spring"
"66",101,"Mimic Shiner","YOY",0,0,2013,"Spring"
"67",101,"Mimic Shiner","Age_1",0,0,2013,"Spring"
"68",101,"Mimic Shiner","Age_2+",0,0,2013,"Spring"
"69",101,"Mimic Shiner","YAO",0,0,2013,"Spring"
"70",101,"Mimic Shiner","ALL",0,0,2013,"Spring"
"71",101,"Muskelunge","YOY",0,0,2013,"Spring"
"72",101,"Muskelunge","Age_1",0,0,2013,"Spring"
"73",101,"Muskelunge","Age_2+",0,0,2013,"Spring"
"74",101,"Muskelunge","YAO",0,0,2013,"Spring"
"75",101,"Muskelunge","ALL",0,0,2013,"Spring"
"76",101,"Quillback","ALL",2.34,4.35,2013,"Spring"
"77",101,"Quillback","YOY",0,0,2013,"Spring"
"78",101,"Quillback","Age_1",0,0,2013,"Spring"
"79",101,"Quillback","Age_2+",0,0,2013,"Spring"
"80",101,"Quillback","YAO",0,0,2013,"Spring"
"81",101,"Rainbow Smelt","YOY",0,0,2013,"Spring"
"82",101,"Rainbow Smelt","Age_1",0,0,2013,"Spring"
"83",101,"Rainbow Smelt","Age_2+",0,0,2013,"Spring"
"84",101,"Rainbow Smelt","YAO",0,0,2013,"Spring"
"85",101,"Rainbow Smelt","ALL",0,0,2013,"Spring"
"86",101,"Rock Bass","YOY",0,0,2013,"Spring"
"87",101,"Rock Bass","Age_1",0,0,2013,"Spring"
"88",101,"Rock Bass","Age_2+",0,0,2013,"Spring"
"89",101,"Rock Bass","YAO",0,0,2013,"Spring"
"90",101,"Rock Bass","ALL",0,0,2013,"Spring"
"91",101,"Round Goby","ALL",4.68,0.04,2013,"Spring"
"92",101,"Round Goby","YOY",0,0,2013,"Spring"
"93",101,"Round Goby","Age_1",0,0,2013,"Spring"
"94",101,"Round Goby","Age_2+",0,0,2013,"Spring"
"95",101,"Round Goby","YAO",0,0,2013,"Spring"
"96",101,"Shorthead Redhorse","YOY",0,0,2013,"Spring"
"97",101,"Shorthead Redhorse","Age_1",0,0,2013,"Spring"
"98",101,"Shorthead Redhorse","Age_2+",0,0,2013,"Spring"
"99",101,"Shorthead Redhorse","YAO",0,0,2013,"Spring"
"100",101,"Shorthead Redhorse","ALL",0,0,2013,"Spring"
"101",101,"Silver Chub","YOY",0,0,2013,"Spring"
"102",101,"Silver Chub","Age_1",0,0,2013,"Spring"
"103",101,"Silver Chub","Age_2+",0,0,2013,"Spring"
"104",101,"Silver Chub","YAO",0,0,2013,"Spring"
"105",101,"Silver Chub","ALL",0,0,2013,"Spring"
"106",101,"Silver Lamprey","YOY",0,0,2013,"Spring"
"107",101,"Silver Lamprey","Age_1",0,0,2013,"Spring"
"108",101,"Silver Lamprey","Age_2+",0,0,2013,"Spring"
"109",101,"Silver Lamprey","YAO",0,0,2013,"Spring"
"110",101,"Silver Lamprey","ALL",0,0,2013,"Spring"
"111",101,"Smallmouth Bass","YOY",0,0,2013,"Spring"
"112",101,"Smallmouth Bass","Age_1",0,0,2013,"Spring"
"113",101,"Smallmouth Bass","Age_2+",0,0,2013,"Spring"
"114",101,"Smallmouth Bass","YAO",0,0,2013,"Spring"
"115",101,"Smallmouth Bass","ALL",0,0,2013,"Spring"
"116",101,"Spottail Shiner","YOY",0,0,2013,"Spring"
"117",101,"Spottail Shiner","Age_1",0,0,2013,"Spring"
"118",101,"Spottail Shiner","Age_2+",0,0,2013,"Spring"
"119",101,"Spottail Shiner","YAO",0,0,2013,"Spring"
"120",101,"Spottail Shiner","ALL",0,0,2013,"Spring"
"121",101,"Trout Perch","YOY",0,0,2013,"Spring"
"122",101,"Trout Perch","Age_1",0,0,2013,"Spring"
"123",101,"Trout Perch","Age_2+",0,0,2013,"Spring"
"124",101,"Trout Perch","YAO",0,0,2013,"Spring"
"125",101,"Trout Perch","ALL",0,0,2013,"Spring"
"126",101,"Walleye","Age_1",2.34,0.29,2013,"Spring"
"127",101,"Walleye","YOY",0,0,2013,"Spring"
"128",101,"Walleye","Age_2+",0,0,2013,"Spring"
"129",101,"Walleye","YAO",0,0,2013,"Spring"
"130",101,"Walleye","ALL",0,0,2013,"Spring"
"131",101,"White Bass","Age_1",76.48,3.29,2013,"Spring"
"132",101,"White Bass","Age_2+",2.53,0.89,2013,"Spring"
"133",101,"White Bass","YOY",0.02,0,2013,"Spring"
"134",101,"White Bass","YAO",0,0,2013,"Spring"
"135",101,"White Bass","ALL",0,0,2013,"Spring"
"136",101,"White Perch","Age_1",1.7,0.19,2013,"Spring"
"137",101,"White Perch","Age_2+",895.77,111.15,2013,"Spring"
"138",101,"White Perch","YOY",0,0,2013,"Spring"
"139",101,"White Perch","YAO",0,0,2013,"Spring"
"140",101,"White Perch","ALL",0,0,2013,"Spring"
"141",101,"White Sucker","YOY",0,0,2013,"Spring"
"142",101,"White Sucker","Age_1",0,0,2013,"Spring"
"143",101,"White Sucker","Age_2+",0,0,2013,"Spring"
"144",101,"White Sucker","YAO",0,0,2013,"Spring"
"145",101,"White Sucker","ALL",0,0,2013,"Spring"
"146",101,"Yellow Perch","Age_1",0.1,0.01,2013,"Spring"
"147",101,"Yellow Perch","Age_2+",6.92,0.52,2013,"Spring"
"148",101,"Yellow Perch","YOY",0,0,2013,"Spring"
"149",101,"Yellow Perch","YAO",0,0,2013,"Spring"
"150",101,"Yellow Perch","ALL",0,0,2013,"Spring"
"151",102,"Alewife","YOY",0,0,2013,"Spring"
"152",102,"Alewife","Age_1",0,0,2013,"Spring"
"153",102,"Alewife","Age_2+",0,0,2013,"Spring"
"154",102,"Alewife","YAO",0,0,2013,"Spring"
"155",102,"Alewife","ALL",0,0,2013,"Spring"
"156",102,"Brown Bullhead","YOY",0,0,2013,"Spring"
"157",102,"Brown Bullhead","Age_1",0,0,2013,"Spring"
"158",102,"Brown Bullhead","Age_2+",0,0,2013,"Spring"
"159",102,"Brown Bullhead","YAO",0,0,2013,"Spring"
"160",102,"Brown Bullhead","ALL",0,0,2013,"Spring"
"161",102,"Channel Catfish","YAO",2.09,1.96,2013,"Spring"
"162",102,"Channel Catfish","YOY",0,0,2013,"Spring"
"163",102,"Channel Catfish","Age_1",0,0,2013,"Spring"
"164",102,"Channel Catfish","Age_2+",0,0,2013,"Spring"
"165",102,"Channel Catfish","ALL",0,0,2013,"Spring"
"166",102,"Common Carp","YOY",0,0,2013,"Spring"
"167",102,"Common Carp","Age_1",0,0,2013,"Spring"
"168",102,"Common Carp","Age_2+",0,0,2013,"Spring"
"169",102,"Common Carp","YAO",0,0,2013,"Spring"
"170",102,"Common Carp","ALL",0,0,2013,"Spring"
"171",102,"Emerald Shiner","YAO",14.57,0.06,2013,"Spring"
"172",102,"Emerald Shiner","YOY",0,0,2013,"Spring"
"173",102,"Emerald Shiner","Age_1",0,0,2013,"Spring"
"174",102,"Emerald Shiner","Age_2+",0,0,2013,"Spring"
"175",102,"Emerald Shiner","ALL",0,0,2013,"Spring"
"176",102,"Freshwater Drum","YAO",72.45,50.66,2013,"Spring"
"177",102,"Freshwater Drum","YOY",0,0,2013,"Spring"
"178",102,"Freshwater Drum","Age_1",0,0,2013,"Spring"
"179",102,"Freshwater Drum","Age_2+",0,0,2013,"Spring"
"180",102,"Freshwater Drum","ALL",0,0,2013,"Spring"
"181",102,"Gizzard Shad","YOY",0,0,2013,"Spring"
"182",102,"Gizzard Shad","Age_1",0,0,2013,"Spring"
"183",102,"Gizzard Shad","Age_2+",0,0,2013,"Spring"
"184",102,"Gizzard Shad","YAO",0,0,2013,"Spring"
"185",102,"Gizzard Shad","ALL",0,0,2013,"Spring"
"186",102,"Golden Redhorse","YOY",0,0,2013,"Spring"
"187",102,"Golden Redhorse","Age_1",0,0,2013,"Spring"
"188",102,"Golden Redhorse","Age_2+",0,0,2013,"Spring"
"189",102,"Golden Redhorse","YAO",0,0,2013,"Spring"
"190",102,"Golden Redhorse","ALL",0,0,2013,"Spring"
"191",102,"Goldfish","YOY",0,0,2013,"Spring"
"192",102,"Goldfish","Age_1",0,0,2013,"Spring"
"193",102,"Goldfish","Age_2+",0,0,2013,"Spring"
"194",102,"Goldfish","YAO",0,0,2013,"Spring"
"195",102,"Goldfish","ALL",0,0,2013,"Spring"
"196",102,"Lake Sturgeon","YOY",0,0,2013,"Spring"
"197",102,"Lake Sturgeon","Age_1",0,0,2013,"Spring"
"198",102,"Lake Sturgeon","Age_2+",0,0,2013,"Spring"
"199",102,"Lake Sturgeon","YAO",0,0,2013,"Spring"
"200",102,"Lake Sturgeon","ALL",0,0,2013,"Spring"
"201",102,"Lake Trout","YOY",0,0,2013,"Spring"
"202",102,"Lake Trout","Age_1",0,0,2013,"Spring"
"203",102,"Lake Trout","Age_2+",0,0,2013,"Spring"
"204",102,"Lake Trout","YAO",0,0,2013,"Spring"
"205",102,"Lake Trout","ALL",0,0,2013,"Spring"
"206",102,"Lake Whitefish","YOY",0,0,2013,"Spring"
"207",102,"Lake Whitefish","Age_1",0,0,2013,"Spring"
"208",102,"Lake Whitefish","Age_2+",0,0,2013,"Spring"
"209",102,"Lake Whitefish","YAO",0,0,2013,"Spring"
"210",102,"Lake Whitefish","ALL",0,0,2013,"Spring"
"211",102,"Logperch","YOY",0,0,2013,"Spring"
"212",102,"Logperch","Age_1",0,0,2013,"Spring"
"213",102,"Logperch","Age_2+",0,0,2013,"Spring"
"214",102,"Logperch","YAO",0,0,2013,"Spring"
"215",102,"Logperch","ALL",0,0,2013,"Spring"
"216",102,"Mimic Shiner","YOY",0,0,2013,"Spring"
"217",102,"Mimic Shiner","Age_1",0,0,2013,"Spring"
"218",102,"Mimic Shiner","Age_2+",0,0,2013,"Spring"
"219",102,"Mimic Shiner","YAO",0,0,2013,"Spring"
"220",102,"Mimic Shiner","ALL",0,0,2013,"Spring"
"221",102,"Muskelunge","YOY",0,0,2013,"Spring"
"222",102,"Muskelunge","Age_1",0,0,2013,"Spring"
"223",102,"Muskelunge","Age_2+",0,0,2013,"Spring"
"224",102,"Muskelunge","YAO",0,0,2013,"Spring"
"225",102,"Muskelunge","ALL",0,0,2013,"Spring"
"226",102,"Quillback","ALL",4.18,7.86,2013,"Spring"
"227",102,"Quillback","YOY",0,0,2013,"Spring"
"228",102,"Quillback","Age_1",0,0,2013,"Spring"
"229",102,"Quillback","Age_2+",0,0,2013,"Spring"
"230",102,"Quillback","YAO",0,0,2013,"Spring"
"231",102,"Rainbow Smelt","YOY",0,0,2013,"Spring"
"232",102,"Rainbow Smelt","Age_1",0,0,2013,"Spring"
"233",102,"Rainbow Smelt","Age_2+",0,0,2013,"Spring"
