serial ,fish_id,species,sp_code,size,tl,wt,year,season
529,1,Walleye,803,L,625,2112,2014,Autumn
529,2,Walleye,803,M,356,377,2014,Autumn
529,3,Walleye,803,M,350,380,2014,Autumn
529,4,Walleye,803,M,283,148,2014,Autumn
529,5,White Sucker,405,ALL,522,1130,2014,Autumn
529,6,White Sucker,405,ALL,401,636,2014,Autumn
529,7,White Sucker,405,ALL,507,1318,2014,Autumn
529,8,White Sucker,405,ALL,285,244,2014,Autumn
529,9,White Perch,132,M,246,239,2014,Autumn
529,10,White Perch,132,M,233,188,2014,Autumn
529,11,White Perch,132,M,223,167,2014,Autumn
529,12,White Perch,132,M,266,272,2014,Autumn
529,13,White Perch,132,M,188,84,2014,Autumn
529,14,White Bass,133,ALL,341,508,2014,Autumn
529,15,White Bass,133,ALL,334,450,2014,Autumn
529,16,White Bass,133,ALL,390,815,2014,Autumn
529,17,White Bass,133,ALL,269,293,2014,Autumn
529,18,White Bass,133,ALL,345,570,2014,Autumn
529,19,Channel Catfish,119,M,390,538,2014,Autumn
529,20,Channel Catfish,119,M,355,376,2014,Autumn
529,21,Channel Catfish,119,M,233,102,2014,Autumn
529,22,Channel Catfish,119,M,292,208,2014,Autumn
529,23,Channel Catfish,119,M,242,111,2014,Autumn
529,24,Channel Catfish,119,S,211,74,2014,Autumn
529,25,Channel Catfish,119,S,157,30,2014,Autumn
529,26,Channel Catfish,119,S,187,54,2014,Autumn
529,27,Channel Catfish,119,L,477,1020,2014,Autumn
529,28,Channel Catfish,119,L,605,2180,2014,Autumn
529,29,Channel Catfish,119,L,768,5945,2014,Autumn
529,30,Channel Catfish,119,L,720,5780,2014,Autumn
529,31,White Perch,132,S,158,53,2014,Autumn
529,32,White Perch,132,S,178,74,2014,Autumn
529,33,White Perch,132,S,168,60,2014,Autumn
529,34,White Perch,132,S,180,77,2014,Autumn
529,35,White Perch,132,S,168,54,2014,Autumn
529,36,Freshwater Drum,134,M,297,279,2014,Autumn
529,37,Freshwater Drum,134,M,372,556,2014,Autumn
529,38,Freshwater Drum,134,M,337,382,2014,Autumn
529,39,Freshwater Drum,134,M,280,229,2014,Autumn
529,40,Freshwater Drum,134,M,374,520,2014,Autumn
529,41,Yellow Perch,801,L,233,136,2014,Autumn
529,42,Yellow Perch,801,L,206,91,2014,Autumn
529,43,Yellow Perch,801,M,150,36,2014,Autumn
529,44,Quillback,403,ALL,500,2302,2014,Autumn
529,45,Quillback,403,ALL,523,2856,2014,Autumn
529,46,Quillback,403,ALL,467,1960,2014,Autumn
529,47,Quillback,403,ALL,499,2228,2014,Autumn
529,48,Quillback,403,ALL,486,1758,2014,Autumn
529,49,Quillback,403,L,555,2982,2014,Autumn
529,50,Common Carp,402,ALL,562,3004,2014,Autumn
529,51,Common Carp,402,ALL,810,9400,2014,Autumn
529,52,Common Carp,402,ALL,770,7600,2014,Autumn
529,53,Common Carp,402,ALL,690,3324,2014,Autumn
529,54,Freshwater Drum,134,L,715,4636,2014,Autumn
529,55,Freshwater Drum,134,L,565,2438,2014,Autumn
529,56,Freshwater Drum,134,L,630,2540,2014,Autumn
529,57,Freshwater Drum,134,L,525,1402,2014,Autumn
529,58,Freshwater Drum,134,L,545,1792,2014,Autumn
529,59,White Perch,132,XS,82,6,2014,Autumn
529,60,White Perch,132,XS,83,4,2014,Autumn
529,61,White Perch,132,XS,87,5,2014,Autumn
529,62,White Perch,132,XS,67,5,2014,Autumn
529,63,White Perch,132,XS,76,5,2014,Autumn
529,64,Trout Perch,131,ALL,81,4,2014,Autumn
529,65,Yellow Perch,801,S,78,6,2014,Autumn
529,66,Yellow Perch,801,S,82,6,2014,Autumn
529,67,Yellow Perch,801,S,82,6,2014,Autumn
529,68,Yellow Perch,801,S,76,5,2014,Autumn
529,69,Yellow Perch,801,S,84,7,2014,Autumn
529,70,Freshwater Drum,134,S,149,27,2014,Autumn
529,71,Freshwater Drum,134,S,150,28,2014,Autumn
529,72,Freshwater Drum,134,S,137,21,2014,Autumn
529,73,Freshwater Drum,134,S,138,21,2014,Autumn
529,74,Freshwater Drum,134,S,137,26,2014,Autumn
529,75,Round Goby,910,ALL,77,7,2014,Autumn
529,76,Round Goby,910,ALL,78,10,2014,Autumn
529,77,Round Goby,910,ALL,90,13,2014,Autumn
529,78,Round Goby,910,ALL,95,12,2014,Autumn
529,79,Round Goby,910,ALL,66,5,2014,Autumn
529,80,Gizzard Shad,108,ALL,169,39,2014,Autumn
529,81,Gizzard Shad,108,ALL,125,14,2014,Autumn
529,82,Gizzard Shad,108,ALL,124,16,2014,Autumn
