Serial,date,time_st,Depth_Factor,n,Depth_Mean,Depth_Std.Dev,Depth_CV,Temp_Mean,Temp_Std.Dev,Temp_CV,SpCond_Mean,SpCond_Std.Dev,spCond_CV,pH_Mean,pH_Std.Dev,pH_CV,Turbitity_Mean,Turbitity_Std.Dev,Turbitity_CV,Chlor_Mean,Chlor_Std.Dev,Chlor_CV,DOpercent_Mean,DOpercent_Std.Dev,DOpercent_CV,DOppm_Mean,DOppm_Std.Dev,DOppm_CV,year,season
101,6/18/2013,1536,"[0,1)",42,0,0.16,1.006,18.567,1.22,0.066,0.074,0.1,1.351,8.064,0.081,0.01,75.49,71.659,0.949,7.26,12.465,1.717,91.743,2.703,0.029,8.589,0.33,0.038,2013,Spring
101,6/18/2013,1536,"[1,2)",4,1,0.38,0.256,21.17,0.008,0,0.27,0,0,8.137,0.005,0.001,17.3,4.928,0.285,1.5,2.714,1.809,99.65,0.52,0.005,8.85,0.047,0.005,2013,Spring
101,6/18/2013,1536,"[2,3)",2,2,0.216,0.086,21.185,0.007,0,0.27,0,0,8.145,0.007,0.001,14.6,2.546,0.174,2.75,1.626,0.591,100.5,0.141,0.001,8.92,0.014,0.002,2013,Spring
101,6/18/2013,1536,"[3,4)",4,3,0.417,0.118,21.19,0,0,0.269,0,0,8.148,0.005,0.001,13.175,1.821,0.138,1.425,1.09,0.765,100.975,0.15,0.001,8.965,0.017,0.002,2013,Spring
101,6/18/2013,1536,"[4,5)",3,4,0.439,0.098,21.19,0,0,0.27,0,0,8.153,0.006,0.001,12.467,0.751,0.06,1.133,1.955,1.726,101.233,0.058,0.001,8.987,0.006,0.001,2013,Spring
101,6/18/2013,1536,"[5,6)",4,5,0.287,0.052,21.19,0,0,0.27,0,0,8.162,0.005,0.001,22.3,12.964,0.581,-0.125,1.024,-8.192,101.2,0.082,0.001,8.982,0.005,0.001,2013,Spring
102,6/18/2013,1623,"[0,1)",20,0,0.22,1.287,19.247,0.251,0.013,0.069,0.085,1.232,8.092,0.055,0.007,154.825,0.253,0.002,6.3,0,0,90.395,0.298,0.003,8.344,0.071,0.009,2013,Spring
102,6/18/2013,1623,"[1,2)",2,1,0.204,0.143,20.15,0.099,0.005,0.234,0.001,0.004,8.195,0.007,0.001,155.7,0.141,0.001,6.3,0,0,89.35,0.071,0.001,8.095,0.021,0.003,2013,Spring
102,6/18/2013,1623,"[2,3)",5,2,0.249,0.105,20.332,0.028,0.001,0.233,0,0,8.196,0.005,0.001,155.88,0.045,0,6.3,0,0,89.12,0.045,0.001,8.046,0.009,0.001,2013,Spring
102,6/18/2013,1623,"[3,4)",4,3,0.404,0.115,20.343,0.005,0,0.233,0,0,8.205,0.006,0.001,155.9,0,0,6.3,0,0,89.1,0,0,8.04,0,0,2013,Spring
102,6/18/2013,1623,"[4,5)",3,4,0.291,0.065,20.327,0.006,0,0.233,0.001,0.004,8.217,0.006,0.001,155.9,0,0,6.3,0,0,89.1,0,0,8.05,0,0,2013,Spring
102,6/18/2013,1623,"[5,6)",4,5,0.342,0.062,20.267,0.028,0.001,0.233,0,0,8.225,0.006,0.001,155.8,0,0,6.3,0,0,89.2,0,0,8.062,0.01,0.001,2013,Spring
102,6/18/2013,1623,"[6,7)",3,6,0.351,0.055,20.213,0.015,0.001,0.233,0.001,0.004,8.23,0,0,155.767,0.058,0,6.3,0,0,89.267,0.058,0.001,8.077,0.006,0.001,2013,Spring
102,6/18/2013,1623,"[7,8)",5,7,0.363,0.048,20.146,0.029,0.001,0.233,0,0,8.23,0,0,155.7,0,0,6.3,0,0,89.34,0.055,0.001,8.096,0.005,0.001,2013,Spring
103,6/18/2013,1435,"[0,1)",26,0,0.199,0.892,18.945,1.277,0.067,0.154,0.12,0.779,8.146,0.045,0.006,48.935,107.638,2.2,9.165,23.955,2.614,92.212,4.153,0.045,8.557,0.215,0.025,2013,Spring
103,6/18/2013,1435,"[1,2)",2,1,0.339,0.251,20.435,0.007,0,0.26,0.001,0.004,8.21,0,0,12.3,5.657,0.46,1.5,0.141,0.094,101.2,0.424,0.004,9.115,0.035,0.004,2013,Spring
103,6/18/2013,1435,"[2,3)",4,2,0.39,0.164,20.438,0.01,0,0.26,0,0,8.225,0.006,0.001,9.275,0.922,0.099,0.125,0.538,4.304,102.575,0.556,0.005,9.24,0.052,0.006,2013,Spring
103,6/18/2013,1435,"[3,4)",4,3,0.388,0.114,20.42,0,0,0.26,0,0,8.24,0,0,8.55,0.058,0.007,3.425,0.846,0.247,104,0.337,0.003,9.373,0.03,0.003,2013,Spring
103,6/18/2013,1435,"[4,5)",3,4,0.311,0.068,20.4,0.01,0,0.26,0,0,8.25,0,0,8.6,0.4,0.047,1.4,1.473,1.052,104.733,0.153,0.001,9.443,0.015,0.002,2013,Spring
103,6/18/2013,1435,"[5,6)",3,5,0.301,0.053,20.38,0.017,0.001,0.26,0,0,8.257,0.006,0.001,8.7,0.4,0.046,2.733,1.415,0.518,105.133,0.208,0.002,9.48,0.02,0.002,2013,Spring
103,6/18/2013,1435,"[6,7)",2,6,0.255,0.039,20.345,0.007,0,0.26,0.001,0.004,8.26,0,0,9.35,1.344,0.144,5.65,0.071,0.013,105.4,0,0,9.51,0,0,2013,Spring
103,6/18/2013,1435,"[7,8)",3,7,0.261,0.035,20.277,0.031,0.002,0.26,0.001,0.004,8.26,0,0,9.367,0.115,0.012,2.233,0.777,0.348,105.5,0,0,9.537,0.006,0.001,2013,Spring
103,6/18/2013,1435,"[8,9)",1,8,,,20.24,,,0.26,,,8.26,,,434.3,,,5.4,,,105.4,,,9.53,,,2013,Spring
104,6/17/2013,1630,"[0,1)",28,0,0.208,1.359,22.426,0.292,0.013,0.222,0.139,0.626,7.83,0.173,0.022,149.05,0.266,0.002,5.9,0,0,76.954,0.304,0.004,6.67,0.064,0.01,2013,Spring
104,6/17/2013,1630,"[1,2)",3,1,0.315,0.176,22.347,0.122,0.005,0.325,0.001,0.003,8.243,0.025,0.003,148.967,0.115,0.001,5.9,0,0,77.033,0.115,0.001,6.687,0.025,0.004,2013,Spring
104,6/17/2013,1630,"[2,3)",3,2,0.247,0.091,22.263,0.055,0.002,0.325,0.002,0.006,8.31,0.02,0.002,148.933,0.058,0,5.9,0,0,77.1,0.1,0.001,6.7,0.01,0.001,2013,Spring
104,6/17/2013,1630,"[3,4)",4,3,0.25,0.069,21.665,0.408,0.019,0.325,0.001,0.003,8.36,0.018,0.002,148.325,0.403,0.003,5.9,0,0,77.7,0.44,0.006,6.832,0.09,0.013,2013,Spring
104,6/17/2013,1630,"[4,5)",5,4,0.349,0.077,20.938,0.086,0.004,0.326,0.001,0.003,8.392,0.008,0.001,147.68,0.084,0.001,5.9,0,0,78.46,0.114,0.001,6.998,0.019,0.003,2013,Spring
104,6/17/2013,1630,"[5,6)",4,5,0.318,0.057,20.802,0.022,0.001,0.326,0.001,0.003,8.383,0.01,0.001,147.55,0.058,0,5.9,0,0,78.6,0,0,7.03,0.008,0.001,2013,Spring
104,6/17/2013,1630,"[6,7)",4,6,0.316,0.049,20.755,0.019,0.001,0.328,0.002,0.006,8.36,0.008,0.001,114.5,66,0.576,7.625,3.45,0.452,78.65,0.058,0.001,7.043,0.005,0.001,2013,Spring
104,6/17/2013,1630,"[7,8)",5,7,0.211,0.029,20.56,0.057,0.003,0.333,0.001,0.003,8.312,0.013,0.002,18.56,0.716,0.039,11.5,4.095,0.356,106.68,15.597,0.146,9.588,1.408,0.147,2013,Spring
105,6/18/2013,1713,"[0,1)",40,0,0.176,1,18.905,0.691,0.037,0.105,0.096,0.914,8.114,0.061,0.008,99.105,0.433,0.004,9.1,0,0,91.905,0.846,0.009,8.542,0.199,0.023,2013,Spring
105,6/18/2013,1713,"[1,2)",3,1,0.401,0.265,19.977,0.006,0,0.239,0,0,8.21,0,0,99.8,0,0,9.1,0,0,90.6,0,0,8.24,0,0,2013,Spring
105,6/18/2013,1713,"[2,3)",3,2,0.251,0.103,19.98,0,0,0.239,0,0,8.22,0,0,99.8,0,0,9.1,0,0,90.6,0,0,8.24,0,0,2013,Spring
105,6/18/2013,1713,"[3,4)",4,3,0.351,0.099,19.98,0,0,0.239,0,0,8.23,0,0,99.8,0,0,9.1,0,0,90.6,0,0,8.24,0,0,2013,Spring
105,6/18/2013,1713,"[4,5)",3,4,0.333,0.071,19.983,0.006,0,0.239,0.001,0.004,8.24,0,0,38.233,53.318,1.395,4.533,4.092,0.903,95.033,7.679,0.081,8.64,0.701,0.081,2013,Spring
105,6/18/2013,1713,"[5,6)",3,5,0.256,0.046,19.98,0,0,0.239,0,0,8.243,0.006,0.001,7.467,0.153,0.02,2.7,0.656,0.243,103.967,0.058,0.001,9.453,0.012,0.001,2013,Spring
105,6/18/2013,1713,"[6,7)",3,6,0.363,0.056,19.973,0.012,0.001,0.239,0.001,0.004,8.25,0,0,7.367,0.208,0.028,2.833,1.601,0.565,104.1,0,0,9.467,0.006,0.001,2013,Spring
